Trading_Interval,Actual_NSW_Demand_MW,Actual_Renewables_MW,Actual_AEMO_Price_AUD,Simulated_Model_Price_AUD
00:00,7227.9,1194.0,72.4,42.5
00:30,7032.0,1227.7,69.04,42.5
01:00,6852.7,1224.9,70.06,42.5
01:30,6790.9,1171.2,71.35,42.5
02:00,6677.9,1142.7,66.15,42.5
02:30,6644.6,1065.2,67.23,42.5
03:00,6608.7,986.3,63.64,42.5
03:30,6634.0,965.1,65.46,42.5
04:00,6803.4,969.7,67.77,42.5
04:30,6963.1,1003.4,59.47,42.5
05:00,7181.9,995.4,67.51,45.8
05:30,7453.3,1089.6,68.42,45.8
06:00,7602.4,1650.2,59.71,45.8
06:30,7697.8,2491.7,46.17,40.85
07:00,7799.1,3323.5,39.17,40.85
07:30,7819.7,3315.3,59.68,42.5
08:00,7772.8,3401.0,50.27,42.5
08:30,7754.3,3251.2,52.26,42.5
09:00,7695.3,3177.4,84.17,42.5
09:30,7734.2,3288.0,59.37,42.5
10:00,7998.7,3263.1,63.09,42.5
10:30,8076.7,3175.0,54.48,42.5
11:00,7947.2,2986.5,74.98,42.5
11:30,7688.0,3045.1,55.16,42.5
12:00,7589.5,2934.6,54.11,42.5
12:30,7676.6,3007.5,47.85,42.5
13:00,7621.5,3033.3,48.36,42.5
13:30,7646.0,3043.2,57.72,42.5
14:00,7668.1,3040.0,65.93,42.5
14:30,7690.9,3183.5,59.47,42.5
15:00,7944.6,3104.7,67.98,42.5
15:30,8482.3,3070.5,88.25,42.5
16:00,8828.3,3125.9,97.34,42.5
16:30,9403.9,3206.9,97.8,42.5
17:00,9570.8,2966.1,87.14,42.5
17:30,9422.5,2646.5,41.41,42.5
18:00,9342.1,1990.2,70.84,42.5
18:30,9316.7,1186.0,74.89,54.92
19:00,9217.9,857.1,76.2,54.92
19:30,9184.5,857.5,78.72,54.92
20:00,8918.0,1024.7,79.22,54.92
20:30,8635.0,1219.4,66.26,45.8
21:00,8467.0,1244.6,75.75,45.8
21:30,8346.9,1150.9,87.83,45.8
22:00,8134.3,1197.6,76.94,45.8
22:30,7899.8,1186.3,82.87,45.8
23:00,7666.8,1098.7,91.66,45.8
23:30,7493.6,1150.0,85.98,45.8
